nama_daerah,lspe_id,date,buyer_name,tender_title,mainprocurementcategory,tender_minvalue,tender_status,award_title,award_date,award_value,award_supplier,days_to_award,budget_utilization_ratio,demo_case_label,award_month,award_quarter,award_weekday,log_tender_minvalue,log_award_value,value_gap,title_word_count,award_title_word_count,supplier_count,award_value_per_day,same_day_award_flag,anomaly_score,anomaly_risk_pct,anomaly_risk_str,prediction_label,severity_band,human_readable_explanation
Jakarta,127,2023-07-11,Pemerintah Daerah Provinsi Dki Jakarta,Perancangan Perbaikan Lingkungan Lokasi 4,Services,467952046.2,Complete,Perancangan Perbaikan Lingkungan Lokasi 4,2023-07-11,450604500.0,Pt. Inkoneksi Izi Konsultan,35,0.9629287950744728,Random_Test_Case_1,7,3,1,19.96387638538434,19.926100574816214,-17347546.199999988,5,5,1,12874414.285714285,0,0.4051996164680627,-47.5,47.5%,normal,low,"[LOW] Status transaksi dinilai AMAN dan memenuhi kriteria kepatuhan standar:
• Komponen **Award Quarter** (3) menunjukkan aktivitas yang dinamis namun tetap sesuai dengan standar operasional.
• Komponen **Kategori Pengadaan Utama** (Services) menunjukkan aktivitas yang dinamis namun tetap sesuai dengan standar operasional.
• Komponen **Award Month** (7) menunjukkan aktivitas yang dinamis namun tetap sesuai dengan standar operasional."
Jakarta,127,2022-09-20,Pemerintah Daerah Provinsi Dki Jakarta,Belanja Modal Bangunan Gedung Tempat Olahraga Penambahan Back Stop Dan Perbaikan Peding Stadion Base Ball Gor Rawamangun,Works,878959499.94,Complete,Belanja Modal Bangunan Gedung Tempat Olahraga Penambahan Back Stop Dan Perbaikan Peding Stadion Base Ball Gor Rawamangun,2022-09-20,790445620.88,Pt. Domas,18,0.8992969766342565,Random_Test_Case_2,9,3,1,20.594249380572084,20.488107422722077,-88513879.06000006,17,17,1,43913645.604444444,0,0.43191545775824464,-25.2,25.2%,normal,low,"[LOW] Status transaksi dinilai AMAN dan memenuhi kriteria kepatuhan standar:
• Parameter **Kompleksitas Judul Kontrak** (17) sangat identik dengan profil pengadaan yang bersih dan akuntabel.
• Parameter **Title Word Count** (17) sangat identik dengan profil pengadaan yang bersih dan akuntabel.
• Komponen **Award Quarter** (3) menunjukkan aktivitas yang dinamis namun tetap sesuai dengan standar operasional."
Jakarta,127,2022-07-20,Pemerintah Daerah Provinsi Dki Jakarta,Jasa Konsultansi Pengawas Konstruksi Pembangunan Puskesmas Kelurahan Kapuk 1,Services,462811700.0,Complete,Jasa Konsultansi Pengawas Konstruksi Pembangunan Puskesmas Kelurahan Kapuk 1,2022-07-20,380658960.0,Cv. Apik Karya,33,0.8224920847938806,Random_Test_Case_3,7,3,2,19.95283083602382,19.75741441675032,-82152740.0,9,9,1,11535120.0,0,0.3978496301302016,-53.63,53.63%,normal,low,"[LOW] Status transaksi dinilai AMAN dan memenuhi kriteria kepatuhan standar:
• Komponen **Award Quarter** (3) menunjukkan aktivitas yang dinamis namun tetap sesuai dengan standar operasional.
• Komponen **Kategori Pengadaan Utama** (Services) menunjukkan aktivitas yang dinamis namun tetap sesuai dengan standar operasional.
• Komponen **Award Month** (7) menunjukkan aktivitas yang dinamis namun tetap sesuai dengan standar operasional."
Jakarta,127,2022-07-19,Pemerintah Daerah Provinsi Dki Jakarta,Perbaikan Ipal Rphu Rawalele Dan Rphu Petukangan Utara,Works,2839795671.0,Complete,Perbaikan Ipal Rphu Rawalele Dan Rphu Petukangan Utara,2022-07-19,2421968751.52,Pt. Yesalma Artha Jaya,32,0.8528672595191092,Random_Test_Case_4,7,3,1,21.76699794005238,21.607846580474682,-417826919.48,8,8,1,75686523.485,0,0.41419688395574655,-39.99,39.99%,normal,low,"[LOW] Status transaksi dinilai AMAN dan memenuhi kriteria kepatuhan standar:
• Komponen **Award Quarter** (3) menunjukkan aktivitas yang dinamis namun tetap sesuai dengan standar operasional.
• Komponen **Kategori Pengadaan Utama** (Works) menunjukkan aktivitas yang dinamis namun tetap sesuai dengan standar operasional.
• Komponen **Kategori Pengadaan Utama** (Works) menunjukkan aktivitas yang dinamis namun tetap sesuai dengan standar operasional."
Jakarta,127,2022-07-27,Pemerintah Daerah Provinsi Dki Jakarta,Penyediaan Jasa Konsultansi Pengawasan Konstruksi Rehab Total Rumah Dinas Lurah Kelurahan Jatipulo,Services,108252750.0,Complete,Penyediaan Jasa Konsultansi Pengawasan Konstruksi Rehab Total Rumah Dinas Lurah Kelurahan Jatipulo,2022-07-27,106848600.0,Pt. Bayu Berlian Mandiri,44,0.987028966931556,Random_Test_Case_5,7,3,2,18.499979337918877,18.486923446522518,-1404150.0,12,12,1,2428377.272727273,0,0.432636897862927,-24.6,24.6%,normal,low,"[LOW] Status transaksi dinilai AMAN dan memenuhi kriteria kepatuhan standar:
• Parameter **Log Tender Minvalue** (18.5) sangat identik dengan profil pengadaan yang bersih dan akuntabel.
• Komponen **Award Quarter** (3) menunjukkan aktivitas yang dinamis namun tetap sesuai dengan standar operasional.
• Komponen **Kategori Pengadaan Utama** (Services) menunjukkan aktivitas yang dinamis namun tetap sesuai dengan standar operasional."
Jakarta,127,2022-08-25,Pemerintah Daerah Provinsi Dki Jakarta,Penyelenggaraan Jakarta Live Act Festival,Services,1426910550.0,Complete,Penyelenggaraan Jakarta Live Act Festival,2022-08-25,1297807227.0,Pt. Avkha Putra Lestari,16,0.9095224833820172,Random_Test_Case_6,8,3,3,21.078777490224855,20.983941929561013,-129103323.0,5,5,1,81112951.6875,0,0.4156383291930288,-38.79,38.79%,normal,low,"[LOW] Status transaksi dinilai AMAN dan memenuhi kriteria kepatuhan standar:
• Parameter **Kategori Pengadaan Utama** (Services) sangat identik dengan profil pengadaan yang bersih dan akuntabel.
• Komponen **Award Quarter** (3) menunjukkan aktivitas yang dinamis namun tetap sesuai dengan standar operasional.
• Komponen **Kategori Pengadaan Utama** (Services) menunjukkan aktivitas yang dinamis namun tetap sesuai dengan standar operasional."
Jakarta,127,2022-06-08,Pemerintah Daerah Provinsi Dki Jakarta,Revitalisasi Pelabuhan Pulau Pramuka ( Jasa Manajemen Konstruksi / Konsultan Pengawasan ),Services,1558426680.0,Complete,Revitalisasi Pelabuhan Pulau Pramuka ( Jasa Manajemen Konstruksi / Konsultan Pengawasan ),2022-06-08,1405060200.0,Pt.Reka Cipta Bina Semesta,51,0.9015889024692518,Random_Test_Case_10,6,2,2,21.166942611470873,21.063345986501016,-153366480.0,12,12,1,27550200.0,0,0.4246115344554711,-31.3,31.3%,normal,low,"[LOW] Status transaksi dinilai AMAN dan memenuhi kriteria kepatuhan standar:
• Parameter **Durasi Proses Tender** (51) sangat identik dengan profil pengadaan yang bersih dan akuntabel.
• Komponen **Kategori Pengadaan Utama** (Services) menunjukkan aktivitas yang dinamis namun tetap sesuai dengan standar operasional.
• Komponen **Rasio Penyerapan Anggaran** (0.9016) menunjukkan aktivitas yang dinamis namun tetap sesuai dengan standar operasional."
Jawa Tengah,42,2023-05-04,Pemerintah Daerah Provinsi Jawa Tengah,Perbaikan Dan Pembangunan Prasarana Dan Sarana Irigasi Di Trani Kab. Sukoharjo-Karanganyar,Works,1349998791.15,Complete,Perbaikan Dan Pembangunan Prasarana Dan Sarana Irigasi Di Trani Kab. Sukoharjo-Karanganyar,2023-05-04,1020020020.0,Sinar Cemerlang,34,0.7555710617570948,Random_Test_Case_7,5,2,3,21.023369534692645,20.74308809248133,-329978771.1500001,11,11,1,30000588.82352941,0,0.40278106184664897,-42.6,42.6%,normal,low,"[LOW] Status transaksi dinilai AMAN dan memenuhi kriteria kepatuhan standar:
• Komponen **Kategori Pengadaan Utama** (Works) menunjukkan aktivitas yang dinamis namun tetap sesuai dengan standar operasional.
• Komponen **Award Quarter** (2) menunjukkan aktivitas yang dinamis namun tetap sesuai dengan standar operasional.
• Komponen **Award Month** (5) menunjukkan aktivitas yang dinamis namun tetap sesuai dengan standar operasional."
Jawa Timur,15,2017-09-25,Pemerintah Daerah Provinsi Jawa Timur,Pengadaan Kontruksi Alih Fungsi Asrama Menjadi Ruang Produksi,Works,257000000.0,Complete,Pengadaan Kontruksi Alih Fungsi Asrama Menjadi Ruang Produksi,2017-09-25,238815000.0,Cv. Cipta Graha Engineering,10,0.9292412451361868,Random_Test_Case_8,9,3,0,19.364586646750546,19.291199755767693,-18185000.0,8,8,1,23881500.0,0,0.4482249749116147,-20.36,20.36%,normal,low,"[LOW] Status transaksi dinilai AMAN dan memenuhi kriteria kepatuhan standar:
• Parameter **Award Weekday** (0) sangat identik dengan profil pengadaan yang bersih dan akuntabel.
• Parameter **Kategori Pengadaan Utama** (Works) sangat identik dengan profil pengadaan yang bersih dan akuntabel.
• Komponen **Title Word Count** (8) menunjukkan aktivitas yang dinamis namun tetap sesuai dengan standar operasional."
Jawa Timur,15,2017-10-02,Pemerintah Daerah Provinsi Jawa Timur,Pengadaan Benih/Bibit Hpt Di Wilayah Ii,Goods,1155000000.0,Complete,Pengadaan Benih/Bibit Hpt Di Wilayah Ii,2017-10-02,1129700000.0,Cv. Surya Dwipaka,42,0.978095238095238,Random_Test_Case_9,10,4,0,20.867366181785968,20.84521794858235,-25300000.0,6,6,1,26897619.04761905,0,0.49287394795332096,22.51,+22.51%,warning,medium,"[MEDIUM] Sistem menemukan beberapa temuan BORDERLINE yang memerlukan perhatian moderat:
• Parameter **Award Quarter** (4) memberikan sinyal kestabilan di tengah beberapa anomali minor lainnya.
• Parameter **Durasi Proses Tender** (42) memberikan sinyal kestabilan di tengah beberapa anomali minor lainnya.
• Parameter **Kategori Pengadaan Utama** (Goods) memberikan sinyal kestabilan di tengah beberapa anomali minor lainnya."
